"","id","x","y"
"687",687,339204.085,8118983.554
"688",688,339204.085,8118983.554
"689",689,339207.8425,8118982.615
"690",690,339207.8425,8118982.615
"691",691,339211.6,8118981.675
"692",692,339211.6,8118981.675
"693",693,339215.3575,8118980.736
"694",694,339215.3575,8118980.736
"695",695,339219.115,8118979.796
"696",696,339219.115,8118979.796
"697",697,339222.8725,8118978.857
"698",698,339222.8725,8118978.857
"699",699,339226.63,8118977.918
"700",700,339226.63,8118977.918
"701",701,339230.3875,8118976.978
"702",702,339230.3875,8118976.978
"703",703,339234.145,8118976.039
"704",704,339234.145,8118976.039
"705",705,339237.9025,8118975.1
"706",706,339237.9025,8118975.1
"707",707,339241.66,8118974.16
"708",708,339241.66,8118974.16
"709",709,339245.4175,8118973.221
"710",710,339245.4175,8118973.221
"711",711,339249.1751,8118972.281
"712",712,339249.1751,8118972.281
"713",713,339252.9326,8118971.342
"714",714,339252.9326,8118971.342
"715",715,339256.6901,8118970.403
"716",716,339256.6901,8118970.403
"717",717,339260.4476,8118969.463
"718",718,339260.4476,8118969.463
"719",719,339264.2051,8118968.524
"720",720,339264.2051,8118968.524
"721",721,339267.9626,8118967.585
"722",722,339267.9626,8118967.585
"723",723,339271.7201,8118966.645
"724",724,339271.7201,8118966.645
"725",725,339275.4776,8118965.706
"726",726,339275.4776,8118965.706
"727",727,339279.2351,8118964.766
"728",728,339279.2351,8118964.766
"729",729,339282.9926,8118963.827
"730",730,339282.9926,8118963.827
"731",731,339286.7501,8118962.888
"732",732,339286.7501,8118962.888
"733",733,339290.5076,8118961.948
"734",734,339290.5076,8118961.948
"735",735,339294.2651,8118961.009
"736",736,339294.2651,8118961.009
"737",737,339298.0226,8118960.07
"738",738,339298.0226,8118960.07
"739",739,339298.962,8118959.13
"740",740,339298.962,8118959.13
"741",741,339299.9014,8118958.191
"742",742,339299.9014,8118958.191
"743",743,339300.8408,8118957.251
"744",744,339300.8408,8118957.251
"745",745,339301.7801,8118956.312
"746",746,339301.7801,8118956.312
"747",747,339302.7195,8118955.373
"748",748,339302.7195,8118955.373
"749",749,339303.6589,8118954.433
"750",750,339303.6589,8118954.433
"751",751,339304.5983,8118953.494
"752",752,339304.5983,8118953.494
"753",753,339305.5376,8118952.555
"754",754,339305.5376,8118952.555
"755",755,339306.477,8118951.615
"756",756,339306.477,8118951.615
"757",757,339307.4164,8118950.676
"758",758,339307.4164,8118950.676
"759",759,339308.3558,8118949.736
"760",760,339308.3558,8118949.736
"761",761,339309.2951,8118948.797
"762",762,339309.2951,8118948.797
"763",763,339310.2345,8118947.858
"764",764,339310.2345,8118947.858
"765",765,339311.1739,8118946.918
"766",766,339311.1739,8118946.918
"767",767,339312.1133,8118945.979
"768",768,339312.1133,8118945.979
"769",769,339313.0526,8118945.04
"770",770,339313.0526,8118945.04
"771",771,339313.992,8118944.1
"772",772,339313.992,8118944.1
"773",773,339314.9314,8118943.161
"774",774,339314.9314,8118943.161
"775",775,339315.8708,8118942.221
"776",776,339315.8708,8118942.221
"777",777,339316.8101,8118941.282
"778",778,339316.8101,8118941.282
"779",779,339317.7495,8118940.343
"780",780,339317.7495,8118940.343
"781",781,339318.6889,8118939.403
"782",782,339318.6889,8118939.403
"783",783,339319.6283,8118938.464
"784",784,339319.6283,8118938.464
"785",785,339320.5677,8118937.525
"786",786,339320.5677,8118937.525
"787",787,339321.507,8118936.585
"788",788,339321.507,8118936.585
"789",789,339322.4464,8118935.646
"790",790,339322.4464,8118935.646
"791",791,339323.3858,8118934.706
"792",792,339323.3858,8118934.706
"793",793,339324.3252,8118933.767
"794",794,339324.3252,8118933.767
"795",795,339325.2645,8118932.828
